epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5204,1.28956,2.05463,1.02402,0.6586,0.41847,0.56649,0.37865,1.16943,2.14717,0.99367,0.0004125,0.0004125,0.0004125
2,45.4447,1.22754,1.14371,1.00758,0.58247,0.56728,0.61703,0.41277,1.1678,1.46053,1.01685,0.000812749,0.000812749,0.000812749
3,67.4344,1.21248,1.06152,1,0.64419,0.64999,0.64132,0.43003,1.15937,1.29274,1.00697,0.0011965,0.0011965,0.0011965
4,89.0895,1.20212,1.02609,1.0053,0.7483,0.71229,0.73745,0.49427,1.13724,1.12532,0.99278,0.00117575,0.00117575,0.00117575
5,110.68,1.16338,0.96818,0.99161,0.73825,0.68945,0.7531,0.49907,1.13642,1.21663,0.99565,0.001151,0.001151,0.001151
6,132.254,1.15373,0.92074,0.98743,0.70181,0.6687,0.72423,0.48302,1.21106,1.56675,1.03725,0.00112625,0.00112625,0.00112625
7,152.927,1.15193,0.89964,0.98574,0.67071,0.75063,0.75711,0.51817,1.12523,1.03059,0.99249,0.0011015,0.0011015,0.0011015
8,174.438,1.1357,0.86564,0.98208,0.76957,0.72662,0.81155,0.57851,1.08404,0.98065,0.97659,0.00107675,0.00107675,0.00107675
9,195.622,1.12182,0.84421,0.97456,0.6979,0.7979,0.80881,0.5798,1.06801,0.94035,0.96545,0.001052,0.001052,0.001052
10,217.215,1.11933,0.84212,0.97665,0.69698,0.73669,0.76065,0.51214,1.20336,1.19764,1.0363,0.00102725,0.00102725,0.00102725
11,238.353,1.10086,0.83674,0.97176,0.68705,0.79497,0.78189,0.55842,1.0912,1.04275,0.97396,0.0010025,0.0010025,0.0010025
12,259.762,1.09366,0.81302,0.96906,0.63519,0.80945,0.77888,0.54068,1.1471,1.1577,1.00215,0.00097775,0.00097775,0.00097775
13,281.11,1.07927,0.78659,0.96248,0.74903,0.81959,0.83775,0.60359,1.11745,0.8611,0.98787,0.000953,0.000953,0.000953
14,302.693,1.08524,0.7859,0.96204,0.84235,0.81279,0.87818,0.62904,1.08796,0.81545,0.97467,0.00092825,0.00092825,0.00092825
15,324.361,1.07536,0.78029,0.96536,0.77218,0.80805,0.82523,0.58056,1.07882,1.02417,0.97626,0.0009035,0.0009035,0.0009035
16,345.628,1.06072,0.75744,0.95686,0.75397,0.81928,0.86279,0.62242,1.06406,0.8583,0.96482,0.00087875,0.00087875,0.00087875
17,367.8,1.07602,0.75678,0.96089,0.74407,0.84875,0.84463,0.6163,1.07779,0.92686,0.97265,0.000854,0.000854,0.000854
18,389.355,1.05504,0.7327,0.95645,0.75646,0.80091,0.85633,0.58952,1.08756,0.91215,0.97286,0.00082925,0.00082925,0.00082925
19,411.024,1.04328,0.72732,0.95093,0.77297,0.86669,0.88017,0.63789,1.07663,0.81978,0.97145,0.0008045,0.0008045,0.0008045
20,432.855,1.05406,0.73133,0.95847,0.80129,0.83654,0.85898,0.62881,1.06534,0.81251,0.9688,0.00077975,0.00077975,0.00077975
21,454.624,1.03719,0.71604,0.94501,0.79882,0.82491,0.88351,0.6334,1.06082,0.76703,0.96652,0.000755,0.000755,0.000755
22,476.865,1.03224,0.69794,0.94839,0.82014,0.81822,0.89511,0.64702,1.06207,0.7459,0.9688,0.00073025,0.00073025,0.00073025
23,498.367,1.02727,0.70713,0.94726,0.77524,0.84837,0.88259,0.64818,1.0361,0.84654,0.95373,0.0007055,0.0007055,0.0007055
24,520.729,1.03077,0.70254,0.94356,0.78345,0.85554,0.8642,0.62712,1.04717,0.85169,0.95821,0.00068075,0.00068075,0.00068075
25,542.241,1.01916,0.68952,0.94361,0.79845,0.88186,0.8974,0.65821,1.03691,0.81556,0.96035,0.000656,0.000656,0.000656
26,564.192,1.00882,0.67494,0.94232,0.82957,0.83125,0.87594,0.64413,1.03755,0.78553,0.95829,0.00063125,0.00063125,0.00063125
27,586.218,1.0093,0.67107,0.94245,0.81734,0.83572,0.87871,0.64735,1.06341,0.84197,0.97593,0.0006065,0.0006065,0.0006065
28,608.079,1.01522,0.6735,0.9415,0.81173,0.87726,0.896,0.6579,1.03235,0.76715,0.95718,0.00058175,0.00058175,0.00058175
29,630.115,0.99303,0.64932,0.93435,0.81558,0.85903,0.8911,0.66408,1.02669,0.77548,0.94814,0.000557,0.000557,0.000557
30,651.943,0.98189,0.65671,0.93269,0.82056,0.88432,0.90671,0.66474,1.02959,0.7339,0.95198,0.00053225,0.00053225,0.00053225
31,673.888,0.98629,0.65433,0.93261,0.78292,0.88861,0.87599,0.65147,1.0497,0.80294,0.95985,0.0005075,0.0005075,0.0005075
32,696.259,0.98728,0.65054,0.93667,0.83944,0.83484,0.89868,0.65152,1.06885,0.79641,0.97872,0.00048275,0.00048275,0.00048275
33,718.343,0.98792,0.64147,0.93443,0.80612,0.90041,0.89054,0.65793,1.03238,0.7708,0.95954,0.000458,0.000458,0.000458
34,740.104,0.96326,0.62934,0.93207,0.8152,0.87663,0.90174,0.66643,1.023,0.71728,0.9522,0.00043325,0.00043325,0.00043325
35,761.776,0.96596,0.62499,0.92463,0.79183,0.90215,0.89884,0.66001,1.05756,0.78048,0.96968,0.0004085,0.0004085,0.0004085
36,784.165,0.97179,0.62354,0.92704,0.83254,0.90015,0.89932,0.65932,1.03056,0.78649,0.95513,0.00038375,0.00038375,0.00038375
37,806.126,0.97176,0.62235,0.92926,0.77342,0.89159,0.89711,0.66518,1.04818,0.83097,0.96081,0.000359,0.000359,0.000359
38,827.85,0.95207,0.61544,0.92003,0.85457,0.87375,0.90055,0.66693,1.03005,0.7289,0.95779,0.00033425,0.00033425,0.00033425
39,849.491,0.95185,0.60739,0.92264,0.82077,0.88999,0.89105,0.66425,1.0223,0.74985,0.95182,0.0003095,0.0003095,0.0003095
40,871.647,0.94514,0.60824,0.9209,0.84865,0.85469,0.90343,0.66949,1.02032,0.74951,0.94959,0.00028475,0.00028475,0.00028475
41,894.681,0.94363,0.59166,0.92144,0.83301,0.87798,0.88913,0.6541,1.05632,0.77455,0.96799,0.00026,0.00026,0.00026
42,916.185,0.93089,0.56916,0.91801,0.82744,0.90128,0.91121,0.67338,1.03852,0.73089,0.96159,0.00023525,0.00023525,0.00023525
43,937.164,0.92585,0.56082,0.91544,0.86012,0.8658,0.91514,0.68373,1.03092,0.75253,0.96093,0.0002105,0.0002105,0.0002105
44,958.753,0.91911,0.5584,0.90949,0.84257,0.86683,0.91116,0.67271,1.05745,0.78055,0.97588,0.00018575,0.00018575,0.00018575
45,979.563,0.9197,0.5544,0.90972,0.83014,0.89975,0.91099,0.67858,1.02851,0.74181,0.95796,0.000161,0.000161,0.000161
46,1000.92,0.90357,0.53986,0.90393,0.82753,0.88545,0.9093,0.67563,1.0244,0.74187,0.95816,0.00013625,0.00013625,0.00013625
47,1021.87,0.9042,0.53697,0.91056,0.83456,0.90656,0.90446,0.67273,1.04049,0.75859,0.96594,0.0001115,0.0001115,0.0001115
48,1042.69,0.89198,0.52865,0.90136,0.8686,0.84369,0.90863,0.67264,1.02775,0.7507,0.96087,8.675e-05,8.675e-05,8.675e-05
49,1064.33,0.89057,0.52435,0.90317,0.82223,0.90663,0.90993,0.67194,1.02574,0.75093,0.95948,6.2e-05,6.2e-05,6.2e-05
50,1084.68,0.88756,0.52298,0.90202,0.81019,0.9255,0.91121,0.67076,1.01911,0.73177,0.95482,3.725e-05,3.725e-05,3.725e-05
